"SubNum","DateTested","Age","Sex","East_or_West","Exclude_too_long_in_West","Expand_Contract_Task","dPrime_Expand","dPrime_Contract","Expand_Minus_Contract_dPrime","Expand_Contract_Mean_dPrime","C_Expand","C_Contract","Expand_Minus_Contract_C","Expand_Contract_Mean_C","ExpandContractExclude","Global_Local_Task","Global_Minus_Local_proportion_accuracy","Local_Minus_Global_speed_allTrials","Local_Minus_Global_speed_CorrectOnly","GlobalLocalExclude"," ","Absolute_Relative_Task","Absolute_Minus_Relative_LengthError","Absolute_Minus_Relative_ProportionError"," ","Individualism_Collectivism","Horizontal_Individualism","Vertical_Individualism","Horizontal_Collectivism","Vertical_Collectivism","IndColExclude","Big_5_Personality_Measures","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","Big5Exclude"," ","Other_Coded_Information","subNumExpandContract","subNumGlobalLocal","subNumAbsolute","subNumAbsolute","subNumSurveys","Expand_n_change","Expand_n_NoChange","Expand_Hits","Expand_Miss","Expand_CR","Expand_FA","Contract_n_change","Contract_n_NoChange","Contract_Hits","Contract_Miss","Contract_CR","Contract_FA","Local_n","Local_n_Correct","Global_n","Global_n_Correct","TargetAbsent_n","TargetAbsent_n_Correct","Global_Local_all_n","Global_Local_all_n_Correct","Absolute_Length_error","Relative_Length_error","Absolute_Proportion_error","Relative_Proportion_error","Global_RT_Correct","Local_RT_Correct","AbsoluteRelativeExclude"
"108","2014_Oct_21_1359","","","w","0","","1.949","2.2475","-0.2985","2.0982","0.0456","0.5446","-0.499","0.2951","0","","-0.0125","0.0921","0.0929","0","","","74.6914","0.0192","","","31","15","27","32","0","","36.56","57.04","49.37","53.12","40","0","","","108","108","108","108","108","51","39","42","9","33","6","32","42","23","9","40","2","66","66","80","79","142","142","288","287","87.3333","12.642","0.0342","0.015","1.16415387165715","1.25708055496229","1"
"109","2014_Oct_21_1451","","","w","0","","3.1453","2.8096","0.3358","2.9775","-0.3653","0.2858","-0.6511","-0.0397","0","","-0.0149","0.2232","0.2292","0","","","5.3507","0.0714","","","31","28","27","32","0","","41.25","55.19","58.89","50","45.71","0","","","109","109","109","109","109","38","44","37","1","39","5","38","44","33","5","42","2","85","83","78","75","125","122","288","280","15.5","10.1493","0.0852","0.0137","1.70656455039987","1.93575764851434","0"
"11","2014_Sep_30_1057","","","e","0","","0.9441","1.2228","-0.2788","1.0835","0.2758","-0.2502","0.526","0.0128","0","","0.0301","-0.1549","-0.1542","0","","","24.0926","-0.031","","","23","22","27","34","0","","52.19","57.04","58.89","40.62","45.71","0","","","11","11","11","11","11","45","44","26","19","34","10","36","39","29","7","25","14","85","81","59","58","144","140","288","279","80.3333","56.2407","0.0343","0.0653","1.54003478329824","1.3858175454313","1"
"110","2014_Oct_21_1451","","","w","0","","4.2011","3.9017","0.2994","4.0514","0.186","0.3441","-0.158","0.265","0","","-0.0167","0.2235","0.2042","0","","","49.074","0.012","","","19","11","26","25","0","","36.56","57.04","47.78","40.62","37.14","0","","","110","110","110","110","110","36","45","35","1","45","0","37","46","35","2","46","0","90","89","72","70","126","126","288","285","60.8333","11.7593","0.0269","0.0149","1.48051297664629","1.68470628877685","0"
"111","2014_Oct_21_1543","","","w","0","","3.4683","3.1746","0.2938","3.3214","0.5689","0.3832","0.1856","0.4761","0","","0","0.0015","0.0015","0","","","21.142","0.0544","","","30","33","24","32","0","","61.56","47.78","46.19","57.81","50","0","","","111","111","111","111","111","41","47","36","5","47","0","35","41","31","4","40","1","79","79","70","70","139","139","288","288","39.5","18.358","0.0768","0.0224","1.175556618826","1.1770848322519","0"
"112","2014_Oct_22_1402","","","w","0","","2.62","2.04","0.5799","2.33","0.5795","0.9399","-0.3604","0.7597","0","","-0.0323","-0.5957","-0.6182","0","","","60.5066","0.006","","","31","29","23","23","0","","45.94","36.67","52.54","51.56","41.43","0","","","112","112","112","112","112","43","34","33","10","33","1","47","40","25","22","39","1","78","78","62","60","148","148","288","286","65.3333","4.8267","0.0122","0.0062","1.96510867675183","1.34689537989744","0"
"113","2014_Oct_22_1402","","","w","0","","1.444","1.7629","-0.319","1.6035","0.4433","0.4277","0.0156","0.4355","0","","0","-0.0603","-0.0603","0","","","40.9753","-0.0168","","","28","16","33","27","0","","52.19","68.15","70","51.56","48.57","0","","","113","113","113","113","113","41","41","25","16","36","5","40","42","27","13","38","4","76","76","86","86","126","126","288","288","68.8333","27.858","0.0217","0.0385","1.35394242752488","1.29368570603789","0"
"114","2014_Oct_22_1403","","","w","0","","2.3733","2.2692","0.1041","2.3212","0.4701","0.3429","0.1272","0.4065","0","","-0.0441","0.002","0.0052","0","","","24.642","-0.046","","","33","25","31","31","0","","49.06","66.3","60.48","48.44","40","0","","","114","114","114","114","114","38","41","29","9","39","2","42","43","33","9","40","3","70","70","68","65","150","150","288","285","67.5","42.858","0.0222","0.0682","1.23022845708394","1.23540729795114","1"
"115","2014_Oct_22_1450","","","w","0","","2.2699","3.0542","-0.7843","2.6621","0.0985","0.0376","0.0609","0.0681","0","","0.0392","0.0373","0.0896","0","","","92.074","0.0461","","","31","28","28","28","0","","39.69","44.07","39.84","51.56","41.43","0","","","115","115","115","115","115","40","46","34","6","41","5","44","34","41","3","32","2","59","55","70","68","159","158","288","281","105.1667","13.0926","0.0614","0.0154","1.35618864087532","1.44579560973404","1"
"116","2014_Oct_22_1450","","","w","0","","1.8414","1.3613","0.4801","1.6013","0.1469","-0.1282","0.2751","0.0093","0","","-0.0302","0.0035","0.0088","0","","","57.5721","4e-04","","","25","23","26","27","0","","44.38","53.33","44.6","64.06","57.14","0","","","116","116","116","116","116","41","49","32","9","42","7","43","31","34","9","22","9","83","82","71","68","134","134","288","284","75.3333","17.7613","0.0198","0.0194","1.23427860175824","1.24311704461159","0"
"117","2014_Oct_22_1450","","","e","0","","1.7173","1.7342","-0.0169","1.7257","0.0498","0.0255","0.0243","0.0376","0","","0.0094","0.0262","0.0443","0","","","-5.5633","0.0162","","","19","21","21","32","0","","58.44","55.19","39.84","48.44","55.71","0","","","117","117","117","117","117","43","33","34","9","27","6","45","43","36","9","35","8","65","60","74","69","149","146","288","275","53.5","59.0633","0.0941","0.0779","1.38325624880574","1.42752852439883","1"
"118","2014_Oct_22_1450","","","e","0","","2.5629","1.4454","1.1174","2.0041","0.1961","0.0136","0.1825","0.1049","0","","-0.0011","0.1323","0.1389","0","","","24.8194","0.0577","","","34","23","26","25","0","","44.38","47.78","49.37","39.06","52.86","0","","","118","118","118","118","118","36","43","31","5","40","3","46","39","35","11","30","9","83","82","76","75","129","129","288","286","41.5","16.6806","0.0784","0.0208","1.24997654914837","1.38883570345355","0"
"119","2014_Oct_22_1448","","","e","0","","2.1664","2.0158","0.1506","2.0911","-0.226","-0.127","-0.0989","-0.1765","0","","0.016","0.4248","0.3814","0","","","33.4934","0.0195","","","29","28","24","27","0","","36.56","53.33","44.6","60.94","30","0","","","119","119","119","119","119","42","46","38","4","37","9","39","37","34","5","30","7","70","66","73","70","145","144","288","280","45.5","12.0066","0.0321","0.0126","1.25135891437517","1.63278838359983","0"
"12","2014_Sep_30_1405","","","w","0","","1.9478","2.2402","-0.2924","2.094","0.3217","0.2275","0.0942","0.2746","0","","-0.077","0.0248","0.0086","0","","","-36.9826","0.0264","","","29","25","35","18","0","","64.69","55.19","54.13","57.81","54.29","0","","","12","12","12","12","12","35","41","26","9","37","4","43","45","35","8","41","4","87","85","70","63","131","128","288","276","26.6667","63.6493","0.0883","0.0619","1.43640554140446","1.44496096442746","0"
"120","2014_Oct_22_1551","","","e","0","","1.8525","3.274","-1.4215","2.5633","0.2047","-0.2894","0.4941","-0.0423","0","","-0.0669","-0.0019","0.0035","0","","","19.6527","0.0611","","","28","28","25","31","0","","47.5","62.59","47.78","45.31","31.43","0","","","120","120","120","120","120","51","31","39","12","27","4","37","45","36","1","41","4","77","74","85","76","126","126","288","276","29.8333","10.1806","0.0727","0.0117","1.23843364339163","1.24190181332722","0"
"121","2014_Oct_22_1551","","","e","0","","1.8612","1.9706","-0.1094","1.9159","-0.2347","0.0179","-0.2526","-0.1084","0","","-0.024","0.1156","0.1292","0","","","132.0633","0.0945","","","22","27","23","23","0","","50.62","40.37","38.25","50","50","0","","","121","121","121","121","121","41","37","36","5","28","9","48","38","40","8","32","6","72","68","88","81","128","124","288","273","149.1667","17.1034","0.1191","0.0246","1.32799209194401","1.457150245414","1"
"122","2014_Oct_22_1551","","","w","0","","1.8559","1.3023","0.5537","1.5791","-0.2373","0.0852","-0.3225","-0.0761","0","","0.0216","-0.3993","-0.3919","0","","","55.2387","0.0971","","","22","29","34","32","0","","63.12","27.41","50.95","46.88","55.71","0","","","122","122","122","122","122","41","49","36","5","37","12","35","39","25","10","30","9","68","65","89","87","131","128","288","280","78","22.7613","0.1215","0.0243","2.13328605136655","1.74140645540692","1"
"123","2014_Oct_22_1551","","","w","0","","2.3715","2.6012","-0.2297","2.4864","0.1366","-0.3061","0.4428","-0.0848","0","","-0.0152","0.2231","0.2222","0","","","58.9279","-0.0064","","","23","28","31","32","0","","49.06","45.93","44.6","70.31","47.14","0","","","123","123","123","123","123","34","43","29","5","39","4","37","50","35","2","42","8","84","84","66","65","138","136","288","285","69.1667","10.2387","0.0051","0.0116","1.23609630511338","1.45826451835099","0"
"124","2014_Oct_22_1551","","","w","0","","0.7969","1.1432","-0.3463","0.97","0.3984","0.1409","0.2576","0.2696","0","","0.0133","-0.0151","-0.0175","0","","","-9.0721","-0.0691","","","27","20","27","29","0","","56.88","51.48","57.3","50","44.29","0","","","124","124","124","124","124","42","47","21","21","37","10","33","42","22","11","32","10","79","76","81","79","128","127","288","282","159.3333","168.4054","0.1265","0.1956","1.53319964831392","1.51569847370421","1"
"125","2014_Oct_23_1044","","","w","0","","2.317","2.8586","-0.5416","2.5878","-0.3539","-0.0941","-0.2598","-0.224","0","","0.0423","-0.0199","-0.0301","0","","","26.3473","0.0601","","","29","22","24","23","0","","50.62","31.11","36.67","40.62","44.29","0","","","125","125","125","125","125","46","38","43","3","30","8","47","33","44","3","30","3","71","68","79","79","138","138","288","285","33.6667","7.3194","0.0685","0.0084","1.15264724779773","1.12250454986709","0"
"126","2014_Oct_24_0943","","","w","0","","1.6811","1.6865","-0.0054","1.6838","0.3801","0.3505","0.0295","0.3653","0","","0.0533","-0.3582","-0.3508","0","","","-2.6914","0.0313","","","25","24","30","30","0","","44.38","53.33","52.54","50","47.14","0","","","126","126","126","126","126","31","45","21","10","40","5","45","43","31","14","38","5","75","71","77","77","136","133","288","281","44.6667","47.358","0.1047","0.0733","1.6220534312264","1.27124520422668","1"
